"sst","chl","par","parml","nano_pico","micro_nano","pico","micro_pico","lat","lon","depth","month","PBmax","alpha","Ek","region","date","mld"
8.03433125813802,0.316152364015579,51.9848694179369,23.9276455555345,1.32873781701177,1.44314089771436,0.235499489654799,1.91755588606938,44.25,-61.26,30,5,3.07,0.036535,84.0290132749418,"scot",2000-05-16,13.2264642715454
8.03433125813802,0.316152364015579,51.9848694179369,23.9276455555345,1.32873781701177,1.44314089771436,0.235499489654799,1.91755588606938,44.25,-61.26,10,5,3.13,0.03560375,87.9120879120879,"scot",2000-05-16,13.2264642715454
6.65066833496094,0.572072578327996,45.5059993141576,16.9417485752796,1.41899251247729,1.51045898096472,0.219186609602015,2.143329984393,44.86,-61.89,30,5,3.09,0.03010725,102.633086714994,"scot",2000-05-16,13.2264642715454
6.65066833496094,0.572072578327996,45.5059993141576,16.9417485752796,1.41899251247729,1.51045898096472,0.219186609602015,2.143329984393,44.86,-61.89,10,5,2.7,0.03818975,70.6995987143147,"scot",2000-05-16,13.2264642715454
12.1673309326172,0.510410626729329,13.1360843492591,6.10631005321466,2.01596121704284,0.724670260985425,0.223370427709469,1.46090714129093,42.01,-65.48,30,10,4.35,0.0643245,67.6258657276776,"scot",2000-10-24,11.1104831695557
12.1673309326172,0.510410626729329,13.1360843492591,6.10631005321466,2.01596121704284,0.724670260985425,0.223370427709469,1.46090714129093,42.01,-65.48,3,10,5.59,0.07055375,79.230374005634,"scot",2000-10-24,11.1104831695557
11.9953328450521,0.407969027757645,12.4453020510466,3.84317646544985,1.87526779116232,0.787290960975121,0.229797936448427,1.47638138138987,42,-65.51,20,10,5.39,0.03997875,134.821623987743,"scot",2000-10-25,14.9593095779419
11.9953328450521,0.407969027757645,12.4453020510466,3.84317646544985,1.87526779116232,0.787290960975121,0.229797936448427,1.47638138138987,42,-65.51,3,10,4.97,0.05478225,90.7228162406619,"scot",2000-10-25,14.9593095779419
13.5859985351562,0.357285395264626,12.3001712301503,5.65043485121454,3.79121195891637,-0.144299893011425,0.235618968076275,0,41.87,-65.34,40,10,5.81,0.0448455,129.555919768985,"scot",2000-10-25,14.9593095779419
13.5859985351562,0.357285395264626,12.3001712301503,5.65043485121454,3.79121195891637,-0.144299893011425,0.235618968076275,0,41.87,-65.34,3,10,5.92,0.050467,117.30437711772,"scot",2000-10-25,14.9593095779419
10.7489980061849,0.643204212188721,11.6718309720357,NA,1.57677942237723,1.31580091161068,0.214984079761093,2.07472780137291,43.4,-64.75,20,10,3.64,0.0343975,105.821644014827,"scot",2000-10-26,11.5939025878906
10.7489980061849,0.643204212188721,11.6718309720357,NA,1.57677942237723,1.31580091161068,0.214984079761093,2.07472780137291,43.4,-64.75,3,10,5.38,0.04566625,117.811293898667,"scot",2000-10-26,11.5939025878906
10.7719960530599,NA,11.934997399648,NA,NA,NA,NA,NA,43.25,-65.05,10,10,5.04,0.0316385,159.299587527854,"scot",2000-10-26,12.3682718276978
